Proposal Number:,type,pub_title,authors,reference_no
UREP19-047-3-016,,,,
UREP19-042-2-016,,,,
UREP19-038-2-015,,,,
UREP19-033-3-010,Journal Paper,Molecular Analysis of the Enteric Protozoa Associated with Acute Diarrhea in Hospitalized Children,"Sonia Boughattas , Jerzy M. Behnke, Khalid Al-Ansari , Aarti Sharma, Wafa Abu-Alainin, Asma Al-Thani  and Marawan A. Abu-Madi",ISSN:2235-2988
UREP19-032-2-013,,,,
UREP19-029-5-007,,,,
UREP19-028-2-012,,,,
UREP19-017-2-007,,,,
UREP19-013-3-001,Journal Paper,Seroprevalence of hepatitis E virus among blood donors in Qatar (2013-2016),"Gheyath K. Nasrallah,
Enas S. Al Absi,
Rula Ghandour,
Nadima H. Ali,
Sara Taleb,
Laila Hedaya,
Fatima Ali,
Mariam Huwaidy,
Abdullatif Husseini",ISSN:15372995
UREP19-013-3-001,Journal Paper,Seroprevalence of hepatitis E virus among blood donors in Qatar (2013-2016),"Gheyath K. Nasrallah,
Enas S. Al Absi,
Rula Ghandour,
Nadima H. Ali,
Sara Taleb,
Laila Hedaya,
Fatima Ali,
Mariam Huwaidy,
Abdullatif Husseini",ISSN:15372995
UREP19-013-3-001,Journal Paper,Seroprevalence and incidence of hepatitis E virus among blood donors: A review,"Duaa W. Al‐Sadeq,  Amin F. Majdalawieh, Gheyath K. Nasrallah",ISSN:10991654
UREP19-013-3-001,Journal Paper,Seroprevalence of hepatitis E virus among blood donors in Qatar (2013‐2016),"Gheyath K Nasrallah, Enas S Al Absi, Rula Ghandour, Nadima H Ali, Sara Taleb, Laila Hedaya, Fatima Ali, Mariam Huwaidy, Abdullatif Husseini",ISSN:15372995
UREP19-013-3-001,Journal Paper,Seroprevalence and incidence of hepatitis E virus among blood donors: A review,"Duaa W Al‐Sadeq, Amin F Majdalawieh, Gheyath K Nasrallah",ISSN:10991654
UREP19-010-2-004,,,,
UREP19-003-4-001,,,,
UREP18-195-5-057,,,,
UREP18-177-1-021,Conference Paper,Uncovering responses of zooplankton community to CO2 acidification in Qatar coastal waters,"Ben-Hamadou, R; Aboshanab, R; Sherif, A; Al-Mandili, M; Omer, G; Shabbir, F; Kazmi, S; Safi, M; Bouwmeester, J, Range, P; Al-Maslamani, I; Obbard, J",DOI:10.5339/qproc.2016.qulss.29
UREP18-172-2-070,,,,
UREP18-170-4-003,,,,
UREP18-162-2-065,,,,
UREP18-161-2-064,Conference Paper,-Literature survey on of-line Arabic handwriting recognition. - Planning and analysis  - Designing a search engine for handwritten historical Arabic documents.  - Implementation of the proposed system,"Haneen Khader, Abeer Al-Marridi, Hena Alpona, Suchithra Kunhoth, Abdulaali Hassaine, and Somaya Al-maadeed",DOI:TBA
UREP18-161-2-064,Conference Paper,Driver activity recognition in virtual reality driving simulation,"Osama Halabi-author-first, Sara Fawal-author-additional, Eman Almughani-author-additional, Lina Al-Homsi-author-additional",DOI:10.1109/IACS.2017.7921955
UREP18-160-5-045,,,,
UREP18-159-5-044,,,,
UREP18-157-5-043,Online Paper,Air Pollution in Qatar : Causes and Challenges,"Charfeddine Lanouar, Afnan AlMalk, and Khloud Al Korbi",DOI:10.13140/RG.2.1.2269.4004
UREP18-157-5-043,Journal Paper,Is it possible to improve environmental quality without reducing economic growth: Evidence from the Qatar economy,"Lanouar Charfeddine
Afnan Yousef Al-Malka
Kholoud Al-Korbib",ISSN:13640321
UREP18-156-2-063,Conference Paper,A Precise Converter for Resolvers and Sinusoidal Encoders Based on a Novel Ratiometric Technique,"A. Khattab, S. Saleh, M. Benammar, and F. Bensaali",DOI:978-1-4799-7250-0
UREP18-156-2-063,Conference Paper,A Precise Converter for Resolvers and Sinusoidal Encoders Based on a Novel Ratiometric Technique,"A. Khattab, S. Saleh, M. Benammar, F. Bensaali",DOI:10.1109/SAS.2016.7479827
UREP18-156-2-063,Conference Paper,A Novel method for online correction of amplitude and phase imbalances in sinusoidal encoders signals,"A. Khattab, M. Benammar, F. Bensaali",DOI: 10.1109/EPEPEMC.2016.7752093
UREP18-156-2-063,Journal Paper,A Sinusoidal Encoder-to-Digital Converter Based on an Improved Tangent Method,"Mohieddine Benammar, Asem Khattab, Student, Sharief Saleh, Faycal Bensaali and Farid Touati",ISSN:1530437X
UREP18-150-5-041,,,,
UREP18-148-6-003,,,,
UREP18-146-2-060,Journal Paper,Assessment of CexZryHfzO2 based oxides as potential solar thermochemical CO2 splitting materials,"Rahul R. Bhosale, Anand Kumar, Fares AlMomani, Ujjal Ghosh,
Shaheen Al-Muhtaseb, Ram Gupta, Ivo Alxneit",ISSN:02728842
UREP18-146-2-060,Journal Paper,Sol-Gel Synthesis of CoFe2O4-ZrO2 Nanoparticles: Effect of Addition of Proton Scavenger and Gel Aging Time,"Rahul R. Bhosale, Anand Kumar, Fares AlMomani, Ujjal Ghosh, Aliya Banu, Arwa Alahtem, Noor Naser, Nour Mardini, Deema Alhams, Afnan Alkhatib, Wadha Allenqawi, Amal Daifallah",ISSN:22781862
UREP18-146-2-060,Journal Paper,Solar Hydrogen Production via Samarium Oxide Based Thermochemical Water Splitting Cycle_Energies,"Rahul Bhosale, Anand Kumar, Fares AlMomani, Ujjal Ghosh, Mohammad Saad Anis, Konstantinos Kakosimos, Rajesh Shende, Marc A. Rosen",ISSN:19961073
UREP18-146-2-060,Book,Sustained Solar Fuel Production in Multiple Thermochemical Cycles Using Sol-Gel,"R. Bhosale, P. Sutar, A. Kumar, F. AlMomani, I. Alxneit, J.R. Scheffe",ISBN:978-0-9975-1171-0
UREP18-146-2-060,Book,Thermochemical Copper Oxide – Copper Sulfate Water Splitting Cycle for Solar,"R. Bhosale, D. Dardor, A. Kumar, F. AlMomani, U. Ghosh",ISBN:9780997511710
UREP18-144-2-058,,,,
UREP18-141-2-055,,,,
UREP18-140-2-054,,,,
UREP18-139-5-038,,,,
UREP18-134-3-029,,,,
UREP18-133-5-035,,,,
UREP18-129-2-053,,,,
UREP18-126-3-026,,,,
UREP18-124-2-051,,,,
UREP18-108-2-045,Conference Paper,NUMERICAL INVESTIGATION OF HEAT TRANSFER CHARACTERISTICS OF A NOVEL WAVY-TAPERED MICROCHANNEL HEAT SINK,"Ahmed Eltaweel,
Abdulla Baobied,
Brian Tompkins,
Ibrahim Hassan",DOI:HT20167432
UREP18-108-2-045,Conference Paper,Numerical Investigation of Heat Transfer Characteristics of a Novel Wavy-Tapered Microchannel Heat Sink,"Ahmed Eltaweel, Abdulla Baobeid, Brian Tompkins and Ibrahim",DOI:10.1115/HT2016-7432
UREP18-108-2-045,Conference Paper,Experimental study of a single microchannel flow under non-uniform heat flux,"Ahmed Eltaweel, Abdulla Baobeid and Ibrahim Hassan",DOI:10.1115/HT2017-4795
UREP18-108-2-045,Conference Paper,Title 	Experimental Investigation of Air-Water Two-Phase Flow Regimes in a Horizontal Wavy Micro-Channel,"Doaa Awad, Abdul Rafey Siddiqui, Yasser Al-Hamidi, M.A. Rahman, Ibrahim Hassan",DOI:10.0000/000000-0000
UREP18-108-2-045,Conference Paper,Experimental study of a single microchannel flow under non-uniform heat flux,"Ahmed Eltaweel, Abdulla Baobeid and Ibrahim Hassan",DOI:10.1115/HT2017
UREP18-107-1-013,,,,
UREP18-102-2-042,Journal Paper,An Experimental Study on the Application of Ultrasonic Technology for Demulsifying Crude Oil and Water Emulsions,"Mahmood Amani, Mohamed Idris, Mohamad Abdul Ghani, Nikolayevich Dela Rosa, Arnel Carvero, Rommel Yrac",ISSN:21577463
UREP18-099-2-040,,,,
UREP18-087-2-033,,,,
UREP18-079-5-024,Conference Paper,FDI Determinants in the GCC Region,"Mohamed Abdelaziz Eissa, Mohammed Elgammal
Ali Hamad Fetis, Hala Abumounes, Ismail Al-Ansari, Marwah Mir, Soojin Kim, Yousra Hamad",DOI:10.2016/ISBN 2410-5465
UREP18-070-5-020,,,,
UREP18-060-3-016,Online Paper,Medical comorbidities in patients with serious mental illness: a retrospective study of mental health patients attending an outpatient clinic in Qatar,"Monica Zolezzi-author-first, Sara Abdulrhim-author-additional, Nour Isleem-author-additional, Farah Zahrah-author-additional, Yassin Eltorki-author-additional",DOI:10.2147/NDT.S141448
UREP18-055-3-012,,,,
UREP18-054-2-020,,,,
UREP18-050-5-013,,,,
UREP18-048-1-008,,,,
UREP18-033-3-010,,,,
UREP18-002-1-001,,,,
UREP18-001-3-001,Journal Paper,Prevalence and molecular profiling of Epstein Barr virus (EBV) among healthy blood donors from different nationalities in Qatar,"Maria K Smatti, Hadi M Yassine, Raed AbuOdeh, Asmaa AlMarawani, Sara A Taleb, Asmaa A Althani, Gheyath K Nasrallah",ISSN:19326203
UREP17-198-5-059,,,,
UREP17-192-5-056,,,,
UREP17-191-3-032,,,,
UREP17-188-4-011,,,,
UREP17-179-5-053,,,,
UREP17-172-2-052,Book,"The Water-Food-Energy Nexus: Processes, Technologies, and Challenges","N. O. Elbashir, Wajdi Ahmed, Hanif A. Choudhury, Nasr Mohammad Nasr, and Naila Mahdi",ISBN:9781138746077
UREP17-161-2-047,,,,
UREP17-157-2-045,,,,
UREP17-151-2-044,,,,
